method,query_type,query_count,mean_recall_at_k,mean_valid_recall_at_k,mean_stale_retrieval_rate,empty_retrieval_rate,no_retrieval_rate,mean_retrieved_count,mean_total_token_cost,mean_ingest_latency_ms,mean_retrieval_latency_ms
tfidf_topk,CURRENT,32,0.5342261904761905,0.65625,0.3645833333333333,0,,3,31.25,0.00046249998320035957,0.659309374995587
tfidf_topk,HISTORICAL,32,0.7973958333333333,0.953125,0.375,0,,3,33.21875,0.00037812499442679837,0.6469874999766034
tfidf_topk,CHANGE,32,0.6901041666666666,0.6901041666666666,0.0,0,,3,31.4375,0.00035312501722728484,0.690206249998937
tfidf_topk,GENERAL,0,,,,,,,,,
memorybank_core,CURRENT,32,0.5243303571428571,0.8385416666666666,0.16666666666666666,0,,3,31.875,52.11668749998921,7.4525000000420505
memorybank_core,HISTORICAL,32,0.559375,0.234375,0.34375,0,,3,32.28125,52.43157812502375,7.461021874988205
memorybank_core,CHANGE,32,0.5442708333333334,0.5442708333333334,0.0,0,,3,31.84375,54.333162500014964,7.842878124989738
memorybank_core,GENERAL,0,,,,,,,,,
memorybank_versioning,CURRENT,32,0.4920386904761905,0.875,0.010416666666666666,0,,3,30.5625,90.24203124994301,12.486728125026048
memorybank_versioning,HISTORICAL,32,0.3911458333333333,0.78125,0.0,0,,2.65625,25.46875,93.6824531249556,12.993196875001445
memorybank_versioning,CHANGE,32,0.4348958333333333,0.4348958333333333,0.0,0,,3,30.59375,91.44658749995926,13.51973750000468
memorybank_versioning,GENERAL,0,,,,,,,,,
memorybank_dual_views,CURRENT,32,0.5243303571428571,0.8385416666666666,0.16666666666666666,0,,3,31.875,86.68793125001173,12.35880312503923
memorybank_dual_views,HISTORICAL,32,0.559375,0.234375,0.34375,0,,3,32.28125,83.6157750000126,12.407565624997119
memorybank_dual_views,CHANGE,32,0.5442708333333334,0.5442708333333334,0.0,0,,3,31.84375,85.91159374995527,13.313281250006526
memorybank_dual_views,GENERAL,0,,,,,,,,,
statebudgetmem_rule,CURRENT,32,0.3717261904761905,0.65625,0.010416666666666666,0.21875,,2.34375,23.75,87.67204062499445,10.117784374997996
statebudgetmem_rule,HISTORICAL,32,0.0,0.0,0.0,0.96875,,0.09375,0.78125,85.40539062499874,0.4483312499985459
statebudgetmem_rule,CHANGE,32,0.3802083333333333,0.3802083333333333,0.0,0.375,,1.875,20.0,86.37234687498108,8.346903125001859
statebudgetmem_rule,GENERAL,0,,,,,,,,,
statebudgetmem_oracle,CURRENT,32,0.4920386904761905,0.875,0.010416666666666666,0,,3,30.5625,91.6424124999935,12.660028125026201
statebudgetmem_oracle,HISTORICAL,32,0.3911458333333333,0.78125,0.0,0,,2.65625,25.46875,94.38490937502308,12.72398437497202
statebudgetmem_oracle,CHANGE,32,0.5442708333333334,0.5442708333333334,0.0,0,,3,31.84375,88.27207812504412,14.377140624915796
statebudgetmem_oracle,GENERAL,0,,,,,,,,,
