method,query_type,query_count,mean_recall_at_k,mean_valid_recall_at_k,mean_stale_retrieval_rate,mean_prompt_token_proxy,mean_retrieval_latency_ms,mean_retrieved_count,empty_retrieval_rate,predicted_query_type_counts
memorybank_core,CURRENT,32,0.5243303571428571,0.8385416666666666,0.16666666666666666,31.875,20.43670624971128,3.0,0.0,"{""null"": 32}"
memorybank_core,HISTORICAL,32,0.559375,0.234375,0.34375,32.28125,20.229765625572327,3.0,0.0,"{""null"": 32}"
memorybank_core,CHANGE,32,0.5442708333333334,0.5442708333333334,0.0,31.84375,21.98933437512096,3.0,0.0,"{""null"": 32}"
memorybank_versioning,CURRENT,32,0.4920386904761905,0.875,0.010416666666666666,30.5625,23.07034687532905,3.0,0.0,"{""null"": 32}"
memorybank_versioning,HISTORICAL,32,0.3911458333333333,0.78125,0.0,25.46875,24.00314062515463,2.65625,0.0,"{""null"": 32}"
memorybank_versioning,CHANGE,32,0.4348958333333333,0.4348958333333333,0.0,30.59375,23.498412500202903,3.0,0.0,"{""null"": 32}"
memorybank_dual_views,CURRENT,32,0.4920386904761905,0.875,0.010416666666666666,30.5625,19.764234375088563,3.0,0.0,"{""CURRENT"": 32}"
memorybank_dual_views,HISTORICAL,32,0.3911458333333333,0.78125,0.0,25.46875,20.37108437571078,2.65625,0.0,"{""HISTORICAL"": 32}"
memorybank_dual_views,CHANGE,32,0.5442708333333334,0.5442708333333334,0.0,31.84375,21.744815623833347,3.0,0.0,"{""CHANGE"": 32}"
statebudgetmem_rule,CURRENT,32,0.4920386904761905,0.875,0.010416666666666666,30.5625,20.903259374563277,3.0,0.0,"{""CURRENT"": 28, ""GENERAL"": 4}"
statebudgetmem_rule,HISTORICAL,32,0.3911458333333333,0.78125,0.0,25.46875,21.102134374359593,2.65625,0.0,"{""GENERAL"": 1, ""HISTORICAL"": 31}"
statebudgetmem_rule,CHANGE,32,0.53125,0.53125,0.0,31.40625,21.302506250094666,3.0,0.0,"{""CHANGE"": 19, ""CURRENT"": 1, ""GENERAL"": 12}"
statebudgetmem_oracle,CURRENT,32,0.4920386904761905,0.875,0.010416666666666666,30.5625,19.16162187512782,3.0,0.0,"{""CURRENT"": 32}"
statebudgetmem_oracle,HISTORICAL,32,0.3911458333333333,0.78125,0.0,25.46875,19.286078125333006,2.65625,0.0,"{""HISTORICAL"": 32}"
statebudgetmem_oracle,CHANGE,32,0.5442708333333334,0.5442708333333334,0.0,31.84375,20.174721875036994,3.0,0.0,"{""CHANGE"": 32}"
