memory_count,repeat,memory_write_ms,embedding_and_index_build_ms,embedding_ms,index_build_ms,baseline_rss_bytes,index_loaded_rss_bytes,index_build_peak_rss_bytes,memory_file_bytes,metadata_file_bytes,embedding_file_bytes,faiss_index_file_bytes,storage_total_bytes
100,0,1985.3721,1985.3721,1985.3721,0.0,434806784,490553344,490237952,12049,50086,153728,153645,369508
100,1,1977.3183,1977.3183,1977.3183,0.0,434806784,491692032,491675648,12049,50086,153728,153645,369508
100,2,2044.0021,2044.0021,2044.0021,0.0,434806784,492625920,492625920,12049,50086,153728,153645,369508
500,0,9717.6202,9717.6202,9717.6202,0.0,434806784,495661056,494571520,61119,251156,768128,768045,1848448
500,1,9420.703,9420.703,9420.703,0.0,434806784,498077696,497934336,61119,251156,768128,768045,1848448
500,2,9711.8615,9711.8615,9711.8615,0.0,434806784,498249728,498151424,61119,251156,768128,768045,1848448
1000,0,19186.574,19186.574,19186.574,0.0,434806784,503779328,500486144,122459,502496,1536128,1536045,3697128
1000,1,19293.9074,19293.9074,19293.9074,0.0,434806784,504832000,506224640,122459,502496,1536128,1536045,3697128
1000,2,18497.14,18497.14,18497.14,0.0,434806784,505802752,507179008,122459,502496,1536128,1536045,3697128
2000,0,38811.3715,38811.3715,38811.3715,0.0,434806784,514506752,509853696,245131,1005168,3072128,3072045,7394472
2000,1,37613.0805,37613.0805,37613.0805,0.0,434806784,518430720,520175616,245131,1005168,3072128,3072045,7394472
2000,2,38446.6891,38446.6891,38446.6891,0.0,434806784,520585216,523276288,245131,1005168,3072128,3072045,7394472
