"Persona","Sessions","Records","Decisions","ADD","MERGE","SUPERSEDE","TEMP_INVALIDATE","RESTORE","DELETE","NOOP","Nodes","Edges","NeedsReview","Errors","GraphValid","AllOpsCovered","RuntimeSec"
"academic_researcher","158","102","102","75","0","7","0","0","18","2","100","25","0","0","True","True","0.704"
"business_executive","145","93","93","65","0","14","0","0","13","1","92","27","0","0","True","True","0.583"
"content_writer","151","102","102","73","0","9","2","0","16","2","100","27","0","0","True","True","0.62"
"creative_designer","147","103","103","76","0","5","0","0","20","2","101","25","0","0","True","True","0.517"
"financial_analyst","156","101","101","75","0","11","0","0","14","1","100","25","0","0","True","True","0.649"
"management_consultant","157","109","109","75","0","12","1","0","18","3","106","31","0","0","True","True","0.743"
"marketing_manager","156","103","103","76","0","9","0","0","18","0","103","27","0","0","True","True","0.622"
"sales_manager","163","105","105","72","0","10","0","0","21","2","103","31","0","0","True","True","0.561"
"software_engineer","163","110","110","81","0","7","1","0","20","1","109","28","0","0","True","True","0.673"
"startup_founder","155","104","104","71","1","11","0","0","16","5","99","28","0","0","True","True","0.731"
